initial_x_mm,initial_z_mm,final_mid_x_mm,final_actual_thickness_um,final_vertical_thickness_um,final_pair_cpress_mpa
-36.5,20.0,-36.4796142578125,150.00006506838974,150.00002086162567,0.0
-36.5,25.0,-36.479618072509766,149.9999595185066,149.99991655349731,0.0
-36.5,30.0,-36.479618072509766,150.0000961124589,150.00005066394806,0.0
-36.5,35.0,-36.47962951660156,149.9999595185066,149.99991655349731,0.0
-36.5,40.0,-36.479618072509766,150.0000961124589,150.00005066394806,0.0
-36.5,45.0,-36.4796257019043,149.9999719361438,149.9999314546585,0.0
-36.5,50.0,-36.4796142578125,150.0000961124589,150.00005066394806,0.0
-35.0,-50.0,-34.97962951660156,150.0000340243142,150.00002086162567,0.0
-35.0,-45.0,-34.979644775390625,149.9999719361438,149.9999612569809,0.0
-35.0,-40.0,-34.97963333129883,150.0000340243142,150.00002086162567,0.0
-35.0,-35.0,-34.979644775390625,149.9999719361438,149.9999612569809,0.0
-35.0,-30.0,-34.97962951660156,150.0000464419452,150.00003576278687,0.0
-35.0,-25.0,-34.97962951660156,149.99999056259762,149.9999761581421,0.0
-35.0,-20.0,-34.9796257019043,150.00006506838974,150.00005066394806,0.0
-35.0,-15.0,-34.97962188720703,149.9999719361438,149.9999612569809,0.0
-35.0,-10.0,-34.97962188720703,150.00006506838974,150.00005066394806,0.0
-35.0,-5.0,-34.979618072509766,149.9999595185066,149.9999463558197,0.0
-35.0,0.0,-34.97962951660156,150.0000464419452,150.00003576278687,0.0
-35.0,5.0,-34.979618072509766,149.9999595185066,149.9999463558197,0.0
-35.0,10.0,-34.97962188720703,150.0000899036456,150.00008046627045,0.0
-35.0,15.0,-34.97962188720703,149.99994089204895,149.9999314546585,0.0
-35.0,20.0,-34.97962188720703,150.0001085300848,150.00009536743164,0.0
-35.0,25.0,-34.9796257019043,149.99992847440922,149.99991655349731,0.0
-35.0,30.0,-34.97962188720703,150.0000899036456,150.00008046627045,0.0
-35.0,35.0,-34.979637145996094,149.99988501266205,149.99987185001373,0.0
-35.0,40.0,-34.9796257019043,150.0000899036456,150.00008046627045,0.0
-35.0,45.0,-34.97963333129883,149.99988501266205,149.99987185001373,0.0
-35.0,50.0,-34.97962188720703,150.0000774860182,150.00006556510925,0.0
-33.75,-50.0,-33.72962951660156,150.0000029802322,150.00000596046448,0.0
